"rules","support","confidence","coverage","lift","count","pvalue_test"
"{CHPT1_1=1,TMEM40_2=1,ARHGAP25_1=1,CHPT1_1_homo=1} => {grading=0}",0.0317460317460317,0.8,0.0396825396825397,1.6128,8,6.31878750350325e-09
"{HEXD_1=1,CHPT1_1=1,TMEM40_2=1,CHPT1_1_homo=1} => {grading=0}",0.0317460317460317,0.8,0.0396825396825397,1.6128,8,6.31878750350325e-09
"{HEXD_1=1,CHPT1_1=1,CHPT1_1_homo=1,RHBDF2_1_homo=1} => {grading=0}",0.0357142857142857,0.9,0.0396825396825397,1.8144,9,6.31878750350325e-09
"{CHPT1_1=1,TMEM40_2=1,RBM11_1_homo=1,CHPT1_1_homo=1} => {grading=0}",0.0396825396825397,0.833333333333333,0.0476190476190476,1.68,10,6.31878750350325e-09
"{CHPT1_1=1,TMEM40_2=1,CHPT1_1_homo=1,RHBDF2_1_homo=1} => {grading=0}",0.0317460317460317,0.8,0.0396825396825397,1.6128,8,6.31878750350325e-09
"{CHPT1_1=1,TMEM40_2=1,APOBEC1_1_homo=1,CHPT1_1_homo=1} => {grading=0}",0.0476190476190476,0.8,0.0595238095238095,1.6128,12,6.31878750350325e-09
"{HEXD_1=1,TMEM40_2=1,RBM11_1_homo=1,CHPT1_1_homo=1} => {grading=0}",0.0277777777777778,0.875,0.0317460317460317,1.764,7,6.31878750350325e-09
"{HEXD_1=1,TMEM40_2=1,CHPT1_1_homo=1,RHBDF2_1_homo=1} => {grading=0}",0.0277777777777778,1,0.0277777777777778,2.016,7,6.31878750350325e-09
"{HEXD_1=1,TMEM40_2=1,C1orf109_1=1,CHPT1_1_homo=1} => {grading=0}",0.0317460317460317,0.8,0.0396825396825397,1.6128,8,6.31878750350325e-09
"{HEXD_1=1,TMEM40_2=1,APOBEC1_1_homo=1,CHPT1_1_homo=1} => {grading=0}",0.0317460317460317,0.888888888888889,0.0357142857142857,1.792,8,6.31878750350325e-09
"{HEXD_1=1,RBM11_1_homo=1,CHPT1_1_homo=1,RHBDF2_1_homo=1} => {grading=0}",0.0357142857142857,1,0.0357142857142857,2.016,9,6.31878750350325e-09
"{HEXD_1=1,C1orf109_1=1,CHPT1_1_homo=1,RHBDF2_1_homo=1} => {grading=0}",0.0317460317460317,0.888888888888889,0.0357142857142857,1.792,8,6.31878750350325e-09
"{HEXD_1=1,APOBEC1_1_homo=1,CHPT1_1_homo=1,RHBDF2_1_homo=1} => {grading=0}",0.0357142857142857,0.9,0.0396825396825397,1.8144,9,6.31878750350325e-09
"{TMEM40_2=1,RBM11_1_homo=1,CHPT1_1_homo=1,RHBDF2_1_homo=1} => {grading=0}",0.0317460317460317,0.888888888888889,0.0357142857142857,1.792,8,6.31878750350325e-09
"{TMEM40_2=1,C1orf109_1=1,RBM11_1_homo=1,CHPT1_1_homo=1} => {grading=0}",0.0357142857142857,0.818181818181818,0.0436507936507936,1.64945454545455,9,6.31878750350325e-09
"{TMEM40_2=1,RBM11_1_homo=1,APOBEC1_1_homo=1,CHPT1_1_homo=1} => {grading=0}",0.0396825396825397,0.909090909090909,0.0436507936507936,1.83272727272727,10,6.31878750350325e-09
"{TMEM40_2=1,APOBEC1_1_homo=1,CHPT1_1_homo=1,RHBDF2_1_homo=1} => {grading=0}",0.0317460317460317,0.8,0.0396825396825397,1.6128,8,6.31878750350325e-09
"{RBM11_1_homo=1,APOBEC1_1_homo=1,CHPT1_1_homo=1,RHBDF2_1_homo=1} => {grading=0}",0.0436507936507936,0.916666666666667,0.0476190476190476,1.848,11,6.31878750350325e-09
"{GSTM3_1=1,F5_2=1,GJE1_1=1,TMEM40_2=1} => {grading=0}",0.0317460317460317,0.888888888888889,0.0357142857142857,1.792,8,6.31878750350325e-09
"{GSTM3_1=1,F5_2=1,GJE1_1=1,TXNRD1_1_homo=1} => {grading=0}",0.0238095238095238,1,0.0238095238095238,2.016,6,6.31878750350325e-09
"{LSR_1=1,F5_2=1,GJE1_1=1,TMEM40_2=1} => {grading=0}",0.0357142857142857,0.818181818181818,0.0436507936507936,1.64945454545455,9,6.31878750350325e-09
"{PDE11A_2=1,ALK_3=1,OR13C2_1=1,CCDC61_1_homo=1} => {grading=1}",0.0317460317460317,0.888888888888889,0.0357142857142857,1.76377952755906,8,8.41447447093663e-09
"{RNF212_1=1,C1orf109_1=1,OR13C2_1=1,MTHFD1_1_homo=1} => {grading=1}",0.0357142857142857,0.818181818181818,0.0436507936507936,1.6234788833214,9,8.41447447093663e-09
"{PDE11A_2=1,OR13C2_1=1,CD52_1_homo=1,FGF21_1_homo=1} => {grading=1}",0.0317460317460317,0.888888888888889,0.0357142857142857,1.76377952755906,8,8.41447447093663e-09
"{PDE11A_2=1,C1orf109_1=1,OR13C2_1=1,FGF21_1_homo=1} => {grading=1}",0.0476190476190476,0.8,0.0595238095238095,1.58740157480315,12,8.41447447093663e-09
"{PTPRU_1=1,FABP1_1=1,OR13C2_1=1,CCDC61_1_homo=1} => {grading=1}",0.0357142857142857,0.818181818181818,0.0436507936507936,1.6234788833214,9,8.41447447093663e-09
"{PTPRU_1=1,C1orf109_1=1,OR13C2_1=1,CCDC61_1_homo=1} => {grading=1}",0.0357142857142857,0.9,0.0396825396825397,1.78582677165354,9,6.34429105016666e-10
"{PTPRU_1=1,C1orf109_1=1,OR13C2_1=1,MTHFD1_1_homo=1} => {grading=1}",0.0357142857142857,0.818181818181818,0.0436507936507936,1.6234788833214,9,8.41447447093663e-09
"{FABP1_1=1,OR13C2_1=1,APOBEC1_1_homo=1,CCDC61_1_homo=1} => {grading=1}",0.0634920634920635,0.842105263157895,0.0753968253968254,1.67094902610858,16,8.41447447093663e-09
"{SLC24A3_1=1,FABP1_1=1,C1orf109_1=1,OR13C2_1=1} => {grading=1}",0.0555555555555556,0.875,0.0634920634920635,1.73622047244094,14,8.41447447093663e-09
"{ALDH3A1_2=1,PPP1R9A_1=1,OR13C2_1=1,CCDC61_1_homo=1} => {grading=1}",0.0357142857142857,0.818181818181818,0.0436507936507936,1.6234788833214,9,8.41447447093663e-09
"{ALDH3A1_2=1,PPP1R9A_1=1,C1orf109_1=1,OR13C2_1=1} => {grading=1}",0.0476190476190476,0.8,0.0595238095238095,1.58740157480315,12,8.41447447093663e-09
"{ALDH3A1_2=1,PPP1R9A_1=1,OR13C2_1=1,APOBEC1_1_homo=1} => {grading=1}",0.0595238095238095,0.882352941176471,0.0674603174603175,1.75081056044465,15,8.41447447093663e-09
"{ALDH3A1_2=1,EPCAM_1=1,OR13C2_1=1,MTHFD1_1_homo=1} => {grading=1}",0.0595238095238095,0.833333333333333,0.0714285714285714,1.65354330708661,15,6.34429105016666e-10
"{ALDH3A1_2=1,C1orf109_1=1,OR13C2_1=1,MTHFD1_1_homo=1} => {grading=1}",0.0555555555555556,0.823529411764706,0.0674603174603175,1.63408985641501,14,6.34429105016666e-10
"{C1orf109_1=1,OR13C2_1=1,CCDC61_1_homo=1,A2ML1_2_homo=1} => {grading=1}",0.0436507936507936,0.846153846153846,0.0515873015873016,1.67898243488795,11,8.41447447093663e-09
"{PDE11A_2=1,PPP1R9A_1=1,OR13C2_1=1,A2ML1_2_homo=1} => {grading=1}",0.0476190476190476,0.8,0.0595238095238095,1.58740157480315,12,8.41447447093663e-09
"{C1orf109_1=1,OR13C2_1=1,CFHR4_1_homo=1,CCDC61_1_homo=1} => {grading=1}",0.0396825396825397,0.909090909090909,0.0436507936507936,1.80386542591267,10,4.46742937085718e-11
"{PPP1R9A_1=1,OR13C2_1=1,CCDC61_1_homo=1,MTHFD1_1_homo=1} => {grading=1}",0.0357142857142857,0.818181818181818,0.0436507936507936,1.6234788833214,9,6.34429105016666e-10
"{PPP1R9A_1=1,C1orf109_1=1,OR13C2_1=1,CCDC61_1_homo=1} => {grading=1}",0.0436507936507936,0.846153846153846,0.0515873015873016,1.67898243488795,11,4.46742937085718e-11
"{PPP1R9A_1=1,OR13C2_1=1,APOBEC1_1_homo=1,CCDC61_1_homo=1} => {grading=1}",0.0515873015873016,0.8125,0.0634920634920635,1.61220472440945,13,4.46742937085718e-11
"{C1orf109_1=1,OR13C2_1=1,CCDC61_1_homo=1,MTHFD1_1_homo=1} => {grading=1}",0.0436507936507936,0.916666666666667,0.0476190476190476,1.81889763779528,11,4.46742937085718e-11
"{EPCAM_1=1,C1orf109_1=1,OR13C2_1=1,CCDC61_1_homo=1} => {grading=1}",0.0555555555555556,0.875,0.0634920634920635,1.73622047244094,14,6.34429105016666e-10
"{C1orf109_1=1,OR13C2_1=1,APOBEC1_1_homo=1,CCDC61_1_homo=1} => {grading=1}",0.0634920634920635,0.8,0.0793650793650794,1.58740157480315,16,2.92668846286905e-12
"{IRX5_1=1,PPP1R9A_1=1,C1orf109_1=1,OR13C2_1=1} => {grading=1}",0.0357142857142857,0.818181818181818,0.0436507936507936,1.6234788833214,9,6.34429105016666e-10
"{PPP1R9A_1=1,C1orf109_1=1,OR13C2_1=1,MTHFD1_1_homo=1} => {grading=1}",0.0476190476190476,0.923076923076923,0.0515873015873016,1.83161720169594,12,6.34429105016666e-10
"{PPP1R9A_1=1,EPCAM_1=1,C1orf109_1=1,OR13C2_1=1} => {grading=1}",0.0634920634920635,0.842105263157895,0.0753968253968254,1.67094902610858,16,8.41447447093663e-09
