"rules","support","confidence","coverage","lift","count","pvalue_test"
"{N4BP2_1=1,HDLBP_1=1,TRAK1_1=1} => {grading=0}",0.0536193029490617,0.8,0.0670241286863271,1.43461538461538,20,1.85919085889447e-08
"{N4BP2_1=1,TRAK1_1=1,PAX4_1_homo=1} => {grading=0}",0.0563002680965147,0.807692307692308,0.0697050938337802,1.44840976331361,21,1.85919085889447e-08
"{N4BP2_1=1,TTLL4_1=1,TRAK1_1=1} => {grading=0}",0.0589812332439678,0.846153846153846,0.0697050938337802,1.51738165680473,22,1.85919085889447e-08
"{PPP1R26_1=1,TRAK1_1=1,SWT1_2=1} => {grading=0}",0.0589812332439678,0.814814814814815,0.0723860589812333,1.46118233618234,22,4.43424767435679e-10
"{PPP1R26_1=1,TRAK1_1=1,ANXA11_2=1} => {grading=0}",0.0536193029490617,0.833333333333333,0.064343163538874,1.49439102564103,20,5.54970716074877e-08
"{PPP1R26_1=1,TRAK1_1=1,TENT5D_1_hemi=1} => {grading=0}",0.0884718498659517,0.846153846153846,0.10455764075067,1.51738165680473,33,1.89926407677451e-09
"{PPP1R26_1=1,TFRC_1=1,TRAK1_1=1} => {grading=0}",0.0857908847184987,0.8,0.107238605898123,1.43461538461538,32,5.54970716074877e-08
"{PPM1E_1=1,PPP1R26_1=1,TRAK1_1=1} => {grading=0}",0.0991957104557641,0.840909090909091,0.117962466487936,1.5079763986014,37,1.89926407677451e-09
"{TTLL4_1=1,TRAK1_1=1,SWT1_2=1} => {grading=0}",0.0589812332439678,0.814814814814815,0.0723860589812333,1.46118233618234,22,1.85919085889447e-08
"{TRAK1_1=1,SWT1_2=1,PNPT1_1=1} => {grading=0}",0.0777479892761394,0.852941176470588,0.0911528150134048,1.52955316742081,29,6.87865905224722e-08
"{HDLBP_1=1,TRAK1_1=1,ANO9_1=1} => {grading=0}",0.0697050938337802,0.8125,0.0857908847184987,1.45703125,26,4.43424767435679e-10
"{MIA3_1=1,HDLBP_1=1,TRAK1_1=1} => {grading=0}",0.0884718498659517,0.891891891891892,0.0991957104557641,1.59940228690229,33,9.65770290887654e-12
"{HDLBP_1=1,TRAK1_1=1,PNPT1_1=1} => {grading=0}",0.0857908847184987,0.842105263157895,0.101876675603217,1.51012145748988,32,6.87865905224722e-08
"{MIA3_1=1,TRAK1_1=1,TENT5D_1_hemi=1} => {grading=0}",0.0831099195710456,0.837837837837838,0.0991957104557641,1.50246881496881,31,5.54970716074877e-08
"{TRAK1_1=1,PAX4_1_homo=1,TENT5D_1_hemi=1} => {grading=0}",0.0884718498659517,0.825,0.107238605898123,1.47944711538462,33,6.87865905224722e-08
